component_01,component_02,roiName
0.0321681777076792,0.0471171940241655,Parcel_043
0.0413637135689087,0.0537801130903336,Parcel_044
0.0339659165063379,0.0369497488569772,Parcel_045
0.032990399789409,0.0345450701939388,Parcel_046
0.0590927838910362,0.0534783275175596,Parcel_047
0.053573201932681,0.0510819632479063,Parcel_048
0.0377039944110333,0.0377234727383776,Parcel_049
0.040766061781871,0.0407462423178002,Parcel_050
0.0520218548186082,0.0490494913474645,Parcel_051
0.0706233505170007,0.0708340843616426,Parcel_052
0.0466165234653185,0.0461456949883535,Parcel_053
0.0551008143147492,0.0550131157486114,Parcel_054
0.0394914159080479,0.0392639142926316,Parcel_055
0.0475968466545874,0.0458384619009051,Parcel_056
0.0503138493861872,0.0486939225661416,Parcel_057
0.0790101894228218,0.0757244225146684,Parcel_058
0.0405447798994879,0.0379482354456913,Parcel_059
0.0556462627181533,0.0545422012289337,Parcel_060
0.0623609349614768,0.0623826110326391,Parcel_061
0.0598286445700816,0.0603565584981138,Parcel_062
0.0570226077373139,0.0571857204747873,Parcel_063
0.0635185429350064,0.0700440950129154,Parcel_064
0.0399959135152513,0.0425825861196138,Parcel_065
0.0497597222984424,0.0540059251180783,Parcel_066
0.0524003415527864,0.0554217764244444,Parcel_067
0.052041890691892,0.0579293848734783,Parcel_068
0.0513389819642209,0.0545885360052539,Parcel_069
0.0515896151996649,0.0530245128167148,Parcel_070
0.0286894539260213,0.0288173350795823,Parcel_071
0.0344543487941973,0.0353342859566613,Parcel_072
0.0197673837698884,0.0185520271909496,Parcel_073
0.0424533701285381,0.0413446696870005,Parcel_074
0.0533904314189137,0.0536452759346918,Parcel_075
0.0528166422584873,0.0522548292166846,Parcel_076
0.0232162816938155,0.0263522023886378,Parcel_077
0.0240310436312327,0.0275560832610165,Parcel_078
0.0293923779509789,0.029299218010417,Parcel_079
0.0488893118215056,0.0488153365199313,Parcel_080
0.0465511209523066,0.0463876133884448,Parcel_081
0.0450631357377421,0.0434914659315938,Parcel_082
0.0301477357793668,0.0331918130982919,Parcel_083
0.0221324999767892,0.0249809964556711,Parcel_084
0.0421395200980091,0.0381507612029248,Parcel_085
0.0722657215474746,0.0702058491227693,Parcel_086
0.0535284551058791,0.0509412085755313,Parcel_087
0.043951692034506,0.0408410963353234,Parcel_088
0.0473318568003452,0.0495662133549783,Parcel_089
0.0550320987914592,0.0601067122458401,Parcel_090
0.0621194794487108,0.0651128964387201,Parcel_091
0.0608435620399071,0.0606709251134305,Parcel_092
0.0452995789961269,0.0460275761170048,Parcel_093
0.0337928945131409,0.0371399172948177,Parcel_094
0.0472392158096796,0.0476842822509049,Parcel_095
0.0258982200369634,0.0267025053042073,Parcel_096
0.0420026538431482,0.044612009612261,Parcel_097
0.0312246186314581,0.0355024289191827,Parcel_098
0.0456696793989342,0.0464535737543059,Parcel_099
0.0379598401803155,0.0387404428482665,Parcel_100
0.0285525464940481,0.0304977869863709,Parcel_101
0.0343624439662029,0.0352482497450604,Parcel_102
0.0372227047712922,0.0376685496288642,Parcel_103
0.0260195612656833,0.0261325509457471,Parcel_104
0.0473245464279856,0.0480099577449761,Parcel_105
0.033703847367301,0.0326654135553567,Parcel_106
0.0398094606846503,0.0401660204386342,Parcel_107
0.0385832256143648,0.0394690488715529,Parcel_108
0.0334212877149037,0.0336383056876493,Parcel_109
