component_01,subjectID
-3.39498654830025,row_321
-2.45000705573374,row_322
-4.14042842185658,row_323
0.118269772799054,row_324
1.07446273166356,row_325
-12.1252894090665,row_326
-1.74800213050201,row_327
2.1376470707675,row_328
-1.25183841251753,row_329
0.141590639375891,row_330
-3.3457089174241,row_331
-4.01115399608522,row_332
1.84681940512743,row_333
0.47919476705454,row_334
-0.678040155840213,row_335
-5.68832813804041,row_336
0.693426852617936,row_337
4.25423674819891,row_338
-4.76164766361481,row_339
2.24953562220473,row_340
3.6857252963623,row_341
5.5736317990222,row_342
1.61712545092964,row_343
-1.8561413945779,row_344
-3.26014356332581,row_345
-3.45286594482116,row_346
-7.58054112408947,row_347
-2.9672167063347,row_348
3.55204364007423,row_349
-3.90636171432824,row_350
-2.01973437847763,row_351
-0.599261458823434,row_352
-1.20331182899616,row_353
0.0289506573791932,row_354
-2.26938017065744,row_355
-0.366691183443558,row_356
-1.97576204123938,row_357
-1.73870155103697,row_358
-1.96726845136703,row_359
2.99057987900712,row_360
-4.16891184152352,row_361
-4.32981954842554,row_362
0.0821777347992464,row_363
-2.90392576991685,row_364
-5.18721121787153,row_365
-1.41487198150256,row_366
-3.31411748927912,row_367
-0.92558670982598,row_368
0.579773837808995,row_369
-1.44192709376971,row_370
-3.11111147191466,row_371
-4.94280553397086,row_372
-3.59642124017106,row_373
-4.26019935770181,row_374
-2.30864672391412,row_375
-1.29524553821355,row_376
-1.40445097080402,row_377
-2.93782212806413,row_378
0.133699215333015,row_379
0.462334611936098,row_380
-2.42657580184177,row_381
2.24193927977303,row_382
0.0909016447178963,row_383
-2.47300957547087,row_384
0.627223391263912,row_385
0.106763815599228,row_386
-2.93215523012806,row_387
-0.975497662417536,row_388
3.70402444731433,row_389
-4.93514845794648,row_390
-0.57886335808652,row_391
-4.34848667390653,row_392
4.8723876578194,row_393
0.369266995039603,row_394
-1.64538189474553,row_395
3.33274965012029,row_396
-7.34122454619575,row_397
0.920579377392625,row_398
-3.67839493260363,row_400
-0.792303273571593,row_401
-6.91679818135166,row_402
0.242267918130723,row_404
3.39725306898874,row_405
-0.827450921707802,row_406
-2.00174655279238,row_408
8.58676145727778,row_409
2.60698736732954,row_410
