component_01,component_02,component_03,component_04,component_05,roiName
0.0407172257712571,0.0418335359930844,0.0400201337078919,0.0423898927122575,0.0420420458408788,Parcel_143
0.0486179761724265,0.0504185116479116,0.0493853690714966,0.0533290191895775,0.0523638996484964,Parcel_144
0.0573003252300392,0.054256168432288,0.0618959572804856,0.0515287768948847,0.0583690515847336,Parcel_145
0.0430729852978608,0.0407452449900152,0.0477057140804408,0.0395209533498318,0.046771631884336,Parcel_146
0.0422399849458512,0.0393625416149563,0.0481098925727528,0.0424739394176689,0.0435472290457651,Parcel_147
0.0525525322576917,0.0505645100043635,0.0585811875565343,0.0497236739396499,0.0542544883854263,Parcel_148
0.0385609723463376,0.036639844229761,0.0452939178488604,0.0410242522915961,0.0420702921101709,Parcel_149
0.0642819899289413,0.0618076718998496,0.0718785262961224,0.0634366859642843,0.0682555152124631,Parcel_150
0.0338807993675193,0.034171725077573,0.0379499822536749,0.0376417824901449,0.0380755101974994,Parcel_151
0.0410320366350616,0.043605938483995,0.0485852480218631,0.0488670990340557,0.049877752375992,Parcel_152
0.0297266235685789,0.0307615586168407,0.0334373948749621,0.0317212984721835,0.0349876436474835,Parcel_153
0.0433834091824458,0.0451460114972171,0.0493867455760778,0.0457871450675081,0.052583762119405,Parcel_154
0.048134046823217,0.0451751328956767,0.048552657135638,0.0470576959007461,0.044083878385846,Parcel_155
0.0606802207407796,0.0582928261586588,0.0636654396170076,0.058198748429564,0.0589601604157767,Parcel_156
0.0713917267287875,0.0666973686631918,0.0729383268785066,0.0654196078167328,0.0665335262788258,Parcel_157
0.0538669191265639,0.050682587041597,0.0566991844662668,0.0512904065718348,0.0516936498543377,Parcel_158
0.0642440670298317,0.0593419444714941,0.0654793573925179,0.0613673631591276,0.0601325224445767,Parcel_159
0.0612621467444534,0.0564736569189801,0.0633866769516828,0.0550920055972503,0.060884405408133,Parcel_160
0.0581712285925712,0.0540462317398072,0.0655180472420719,0.0553687038836598,0.0603514051112151,Parcel_161
0.0635986206743438,0.0606744845300557,0.0678934966007666,0.0598503958384027,0.065202431379511,Parcel_162
0.049809635313085,0.0459935931221112,0.054349870613561,0.0474534080355488,0.0518049106334589,Parcel_163
0.0487471361283569,0.0473692005533915,0.0502660416683392,0.0499727913161799,0.0492953506083972,Parcel_164
0.0640900358389311,0.0606919987643979,0.0698101964751518,0.0571465766123989,0.0691064840480851,Parcel_165
0.0640585561769845,0.0621091281045627,0.0694792324976157,0.0573344709379158,0.0703375476241689,Parcel_166
0.0599024382341614,0.0592601223420246,0.059611107278129,0.0566208363838609,0.060160216375825,Parcel_167
0.0636861994225517,0.0634825939469496,0.0643345331719376,0.0592336792605653,0.0662749605481118,Parcel_168
0.0564868591809031,0.0557390685231767,0.0593486944328112,0.0535659514540264,0.0600397205112201,Parcel_169
0.0569655930241986,0.057766345608578,0.0617944620860874,0.0557400280658784,0.0647642828027831,Parcel_170
0.0543361484865322,0.0542766977736774,0.0544890391946513,0.0521527110661735,0.0551219331524841,Parcel_171
0.0534575968517464,0.0534805972009976,0.0563537342537054,0.0516704907440792,0.0579555937358552,Parcel_172
0.0571264691655497,0.0594737210486799,0.0587162593159434,0.0575006207332771,0.0619160955274586,Parcel_173
0.044308170128601,0.0476953108351589,0.0500698548284324,0.0472290763334031,0.0554366192772807,Parcel_174
0.0180022483737972,0.0176186660953551,0.0180782652340023,0.0213455223682315,0.0159940410813744,Parcel_175
0.0329343471408693,0.0331904586292394,0.0326245363267587,0.0383438167361495,0.0328462747277349,Parcel_176
0.0292387024831934,0.0313898199197939,0.0312625324350529,0.0294248888956345,0.034888446799131,Parcel_177
0.0438986571787733,0.0452750594948676,0.049316517055342,0.0441505960302714,0.0528224503192193,Parcel_178
0.0152407867329494,0.0163158807615392,0.0167089849172823,0.0172629006187512,0.0176565709213821,Parcel_179
0.0173147943506622,0.0181538127558034,0.0191595352254476,0.0194282974230154,0.0207479097738518,Parcel_180
