component_01,component_02,component_03,component_04,roiName
0.0694333540443892,0.0709151208119314,0.0736250481933381,0.0743478368568129,Parcel_030
0.0729913414662546,0.0743725097338164,0.0644237335679421,0.0679182340932077,Parcel_031
0.0404067759889886,0.04130515462824,0.0392302295777822,0.0416092484763247,Parcel_032
0.0709750999244081,0.0701677912338775,0.0656741965435656,0.0655339976663951,Parcel_033
0.0352293433020439,0.0363369627307839,0.0334958942751988,0.0350725049620089,Parcel_034
0.0579971578710778,0.0620904762890219,0.0514679798864555,0.0581470241348433,Parcel_035
0.0525383555536639,0.0521807292902773,0.0459583525739737,0.0482797427201557,Parcel_036
0.0415235786837475,0.0430068099767387,0.0345428276261546,0.0375125897637388,Parcel_037
0.0406100414467819,0.0404388280318616,0.038911795952201,0.0388218068757605,Parcel_038
0.0259304658963742,0.0286653595114671,0.0223420818274375,0.0274674651089046,Parcel_039
0.0401763336931914,0.0437285618409957,0.033755326774297,0.0404311171718563,Parcel_040
0.0356601393860456,0.0398986203524881,0.0281616988864459,0.0354907272977594,Parcel_041
0.0407497638810797,0.0427490181585998,0.0332045503669542,0.0394046503589556,Parcel_042
0.0392137256196103,0.046462053268075,0.0320885349282325,0.0425725661370149,Parcel_043
0.0508601732720524,0.0556678267550905,0.0426281182290541,0.0518714636373061,Parcel_044
0.0375490328471312,0.038730537232057,0.0354047575803561,0.0382347445581724,Parcel_045
0.0352318010410125,0.0352145226622532,0.0333936617353691,0.034585505166157,Parcel_046
0.0581499106228285,0.0547418329339434,0.060342272055256,0.0563571630134675,Parcel_047
0.0491682458995779,0.0466946565033876,0.0520398071491546,0.0503076236557416,Parcel_048
0.0355066767262108,0.0356588690333499,0.0377668889590014,0.0375405090109305,Parcel_049
0.0412795227786876,0.0407384122211445,0.0409947712080252,0.0401761803672467,Parcel_050
0.043161821686829,0.0430681913537987,0.0502325165849151,0.0489242679813384,Parcel_051
0.0622332803403817,0.0636443485519222,0.0666054685400055,0.0661495982886297,Parcel_052
0.0487509087006668,0.0500416843675106,0.0470676406625705,0.0476554785442239,Parcel_053
0.0527596713311484,0.0538015039889585,0.0532522785901333,0.0538183670906111,Parcel_054
0.0380775544377098,0.0377500009158549,0.0395339799296169,0.0390474894421488,Parcel_055
0.0462352262550926,0.0457963881554714,0.0462619695932424,0.0446612002851138,Parcel_056
0.0465895403981623,0.0483898588014097,0.0478238972235868,0.046958693861143,Parcel_057
0.0697234513670589,0.0731206180650946,0.0746873288978967,0.0726360801373541,Parcel_058
0.0420467324214373,0.0413278876280395,0.0430283050893852,0.0422792038694633,Parcel_059
0.0558843280698695,0.0578957390262356,0.0579419815673509,0.0592767329392487,Parcel_060
0.0663767698969146,0.0644510265030778,0.0650930108017937,0.0654165800018526,Parcel_061
0.0659722774073513,0.0643428285322229,0.0632051309609269,0.0633313534748506,Parcel_062
0.0514478256993383,0.0510933540473898,0.0553869418254035,0.0564823969424797,Parcel_063
0.0639624358456021,0.0672083876217678,0.0637680315972495,0.0696673665724279,Parcel_064
0.0435204901459975,0.0430787194985983,0.0433772362598176,0.045812970100667,Parcel_065
0.0565670141270985,0.0563923936538018,0.0546304659859674,0.0572606258726078,Parcel_066
0.0504975730324243,0.0517236336248587,0.0523639025609329,0.0561275652150079,Parcel_067
0.0526340591784596,0.0552128282359001,0.0545547036680882,0.0606688008836978,Parcel_068
0.0530606952712554,0.0546753944376841,0.0548683487048764,0.0604325873867104,Parcel_069
0.050403344661012,0.0517680050677313,0.0533954404948767,0.0561097741334274,Parcel_070
0.0299909901065595,0.0301348602761132,0.0279695161222625,0.0281143368817602,Parcel_071
0.0398358035315726,0.0395336253917856,0.0367751633487294,0.0374890925242304,Parcel_072
0.0200760883018193,0.0192587240247541,0.0204930410186658,0.019915595049993,Parcel_073
0.0449653205249205,0.0437897072589067,0.0432852948812604,0.0423526474815789,Parcel_074
0.0568971132432063,0.0549823891360728,0.0563218337143136,0.0560795060561437,Parcel_075
0.0527062738544766,0.051473421675889,0.0524859708575864,0.0519535727011439,Parcel_076
0.0249454929267807,0.0277907880563354,0.0235119835626474,0.0260744264641048,Parcel_077
0.0248450593292237,0.0266768539965985,0.0231233833690503,0.0254164934928373,Parcel_078
0.031361455278846,0.0293740127192869,0.0309552802492865,0.0304336198584499,Parcel_079
0.0469242921613985,0.0447681914317467,0.0479897452016992,0.0476035916203054,Parcel_080
0.0415051146565979,0.039837728785256,0.0453547596166444,0.0445317066429457,Parcel_081
0.0417418891556398,0.0395154069555685,0.0438174737968746,0.0423054296053958,Parcel_082
0.0299596855595319,0.032734200944342,0.028860504160162,0.0314874075391918,Parcel_083
0.0231524300725233,0.0247558201631144,0.0223339013363706,0.0243654538045006,Parcel_084
0.0407604320580482,0.0377836051721923,0.0424904943698054,0.0389052554615465,Parcel_085
0.0693561599243165,0.0664525510364712,0.0700392529927982,0.0669658335878001,Parcel_086
0.0506175034674883,0.0492172587466735,0.0520908326481339,0.049512488009753,Parcel_087
0.0419372168383408,0.0407961570496415,0.0430743531747723,0.040078409203061,Parcel_088
0.045456433720338,0.0484279452793406,0.045494547428251,0.04733149259582,Parcel_089
0.0526735682040663,0.05725682679725,0.0514312492642688,0.0547341102164845,Parcel_090
0.0599433262802829,0.0624221099944522,0.0588778694315589,0.0606971937129424,Parcel_091
0.0531214403575927,0.0551718486944427,0.0561603683965281,0.0555868247223069,Parcel_092
0.0445554295245838,0.0453311855203591,0.0445638246247014,0.0447442723944424,Parcel_093
0.0325145637091462,0.0348785427548482,0.0322678182123599,0.0350902871354052,Parcel_094
0.0537791535187647,0.0539344970010937,0.0502142483727439,0.0498433353728135,Parcel_095
0.028697584142785,0.0290722958403763,0.0260570545125707,0.0265113702714026,Parcel_096
0.0427943069850565,0.0452982148491775,0.0405176441150425,0.0425956590360308,Parcel_097
0.0314453368109416,0.0343513906570973,0.0303642181292461,0.0335520411530397,Parcel_098
0.0488323613635551,0.0486062670153616,0.0462771997561584,0.0462774693714383,Parcel_099
0.0412646178465778,0.0416241544597184,0.0381914432948979,0.0380310786901508,Parcel_100
0.0298458588167908,0.0307095757634798,0.0284182461716996,0.02918701018155,Parcel_101
0.0331303369836446,0.0335974380523537,0.0333672937097915,0.0340635728809549,Parcel_102
0.0388647817195852,0.0384548370636254,0.0380639926285782,0.0380350938964056,Parcel_103
0.0259506282802632,0.0254419479239462,0.0260230255897745,0.0257518528857635,Parcel_104
0.0499927096319046,0.050725523333439,0.0490799790486528,0.0495340911086359,Parcel_105
0.0316623119709321,0.0316852388542922,0.0326970916380474,0.031850953055519,Parcel_106
0.0397084328164924,0.03994931666414,0.0384344246807388,0.0379989688795387,Parcel_107
0.0366251640461023,0.0368143034937183,0.0368907456077273,0.0376557849764206,Parcel_108
0.0306973735887834,0.0306526549736775,0.032191453521498,0.0322724548424273,Parcel_109
0.0310494264162546,0.0305999516144765,0.0318971611656069,0.0316351644423083,Parcel_110
0.0295658099612165,0.029194714931241,0.0292480506037275,0.0284442611096635,Parcel_111
0.0501591027524398,0.0484827061337805,0.0509873843224106,0.0479433222797022,Parcel_112
0.0534797675805422,0.0535668156839916,0.0516484682801768,0.0527353558821184,Parcel_113
0.0744095331197958,0.0760841619976108,0.0707534195738156,0.0743550338375947,Parcel_114
0.0366536736030617,0.0343751621051992,0.0356242076496183,0.0360836096850127,Parcel_115
0.0823205494790123,0.0816546902160315,0.0824468507032442,0.0843887529436009,Parcel_116
0.0850582563877456,0.0807100325762685,0.0853997069211697,0.0826380049750313,Parcel_117
0.100887492499607,0.0999799156196794,0.0962686745285274,0.0970221946303998,Parcel_118
0.044508943964239,0.0402958961101374,0.0483364981795932,0.0447375003967325,Parcel_119
0.0730338146217539,0.0687253567945309,0.0758717054382569,0.0720693954694124,Parcel_120
0.0348525591399862,0.0333855121056932,0.0347642256007466,0.0359758733059858,Parcel_121
0.0462579370609507,0.0439395504884573,0.0450804152163319,0.046825733322543,Parcel_122
0.0497689170618058,0.0478037700249315,0.0533893245860695,0.0508349119628788,Parcel_123
0.079231624759151,0.0774144233374804,0.0845945288936343,0.0806708208482683,Parcel_124
0.0448917144459516,0.0417173353376721,0.0502796264889976,0.0430692582700995,Parcel_125
0.0855872292970141,0.0823437486879679,0.0945545985214414,0.0855845265651998,Parcel_126
0.0295760237024149,0.0284805757122826,0.0300002148548711,0.0309963017271463,Parcel_127
0.06037124579443,0.0584830820053107,0.0614232553449085,0.0639891892138393,Parcel_128
0.0409742506533176,0.0398448541567994,0.0395806317460193,0.0422236684748544,Parcel_129
0.0530462010474062,0.0513808943791838,0.0497339453877159,0.0535784053229726,Parcel_130
0.0361915830359019,0.0357122538527002,0.0373222347071009,0.0410379985742876,Parcel_131
0.0435210194657697,0.0430599462084427,0.0473785526820244,0.0491584278466154,Parcel_132
0.0449995470252257,0.0444499474836303,0.0487329780247767,0.0460318671997602,Parcel_133
0.0530172260436887,0.0533228829566068,0.0588070320829398,0.0556063557857658,Parcel_134
0.0552620716477666,0.0567031851077166,0.0538657531718403,0.0531719527943531,Parcel_135
0.0382479498847806,0.036781882272131,0.0418562379559262,0.0393928862405106,Parcel_136
0.0429384452986521,0.042542817348516,0.0464686369596468,0.0473624656492279,Parcel_137
0.0625722396518514,0.0633804812256388,0.0675597571282247,0.0702663929007695,Parcel_138
0.0403340429313351,0.0407916270108905,0.0431540561493665,0.0440650157501809,Parcel_139
0.0462784904220036,0.0482110093907812,0.0540232153923627,0.0543565979126075,Parcel_140
0.0505947925617999,0.0526020631296345,0.0510484787110081,0.0531785832272074,Parcel_141
0.0485256812597784,0.0502174113680656,0.0544533386754169,0.055607023165876,Parcel_142
0.0401655738925386,0.0413006401320096,0.0397205953891593,0.0420072250562665,Parcel_143
0.0475844106092908,0.049327359336214,0.0491918570061671,0.0532446274470548,Parcel_144
0.0577448014856718,0.0549580591719922,0.0612376733142385,0.0540841013038734,Parcel_145
0.0431370693845961,0.0411341056498143,0.0468320156132055,0.042535274936551,Parcel_146
0.0420073097152364,0.0389211805601221,0.0484814343735455,0.0438679850651275,Parcel_147
0.05288674798128,0.050852324391305,0.0591116743715113,0.0523905898036656,Parcel_148
0.0376226549642524,0.0354638947219376,0.0454573222757633,0.0423089377979297,Parcel_149
0.0631118022455256,0.060525707646948,0.0710022301130985,0.0651489931409305,Parcel_150
0.0329816294859034,0.0331054582412424,0.0380623293666702,0.0385166405630411,Parcel_151
0.0390431873855156,0.0411921368538138,0.0487357161636188,0.0503550045516207,Parcel_152
0.0291100018356545,0.0300681762626066,0.0331171498203854,0.0332595870247766,Parcel_153
0.0442754017677159,0.0457915104201556,0.0502783935669927,0.0503003034415211,Parcel_154
0.0475578301282255,0.0444480785200694,0.0484848738588786,0.0456677381041523,Parcel_155
0.0598592312874904,0.057588485139609,0.0629635537483657,0.0578865448675922,Parcel_156
0.071446782554504,0.0664299535065016,0.0727653345270002,0.0654322567182704,Parcel_157
0.0537847923748473,0.0505353057420536,0.0569790931983581,0.0519640380042834,Parcel_158
0.0630947371192457,0.0581493503483411,0.0646238425886111,0.0603359778830295,Parcel_159
0.0609328318456064,0.0565569809705343,0.0619626799302676,0.0567876930873716,Parcel_160
0.0582743049529694,0.0542623995224529,0.0653378755030189,0.0581527386804285,Parcel_161
0.0642548885509557,0.0616844384292443,0.0678873042517168,0.0628805115788111,Parcel_162
0.0497862999607965,0.0461034778835117,0.0538296141442458,0.0495287204011941,Parcel_163
0.0484899325826055,0.0469853259445419,0.0504990482426699,0.0502503134306561,Parcel_164
0.0648648005535446,0.061956207930692,0.0684099287542835,0.0617907755582487,Parcel_165
0.0656219301133907,0.064170777119036,0.0689147061017402,0.0632021196937047,Parcel_166
0.059861645019123,0.0594970393229471,0.0587183796209352,0.0573454148465238,Parcel_167
0.0643336746790491,0.0643275150017885,0.0634464052865334,0.0614675911759007,Parcel_168
0.056435059121162,0.0555598792174385,0.0586706706870214,0.0558539310616846,Parcel_169
0.0572434846475864,0.0581164957938307,0.0612813529432553,0.0597217147428609,Parcel_170
0.0546700905110251,0.0546608004877263,0.0543420969938142,0.0533283146698848,Parcel_171
0.0531581050463999,0.0531979187628362,0.0554381113580307,0.0537590592700038,Parcel_172
0.0567330931133719,0.0591318595367905,0.0580728565229755,0.0589867229195135,Parcel_173
0.0440700611312176,0.0474902635819767,0.0497490950910009,0.0513161831677046,Parcel_174
0.0173005143183178,0.0166985056171622,0.0186342170613589,0.0196011251778907,Parcel_175
0.0306556852219224,0.030849498417476,0.0315464054776917,0.0352687296146954,Parcel_176
0.0293163722933327,0.0314688319249689,0.0309827864498067,0.0316757243595284,Parcel_177
0.0447455903752167,0.0461628463015417,0.0493660406815507,0.0485948639514625,Parcel_178
0.0146032943555102,0.0156483356405625,0.0163948147441056,0.0173122967378823,Parcel_179
0.017335358185219,0.0181090209179894,0.0194050082510937,0.0206081207112718,Parcel_180
0.0309348691329128,0.030738458545816,0.029408741383642,0.0311983361329866,Parcel_181
0.0282058611999691,0.0265728575887069,0.0298037559747407,0.029253783397145,Parcel_182
0.0237053074984506,0.0238101966463047,0.0246045860889851,0.0260557760087094,Parcel_183
0.0191942030339571,0.0153258446817816,0.0218087391069603,0.0199629921804823,Parcel_184
0.00870587991283392,0.00896110791753521,0.00869387380741157,0.00914894596884028,Parcel_185
0.00363250135232401,0.00279583057427369,0.00435947511713357,0.00475066239960155,Parcel_186
0.036551596079823,0.0373287042954725,0.0408037907781008,0.0419258486361523,Parcel_187
0.0434424222337774,0.0417579888596426,0.0520112892712561,0.0516394108831245,Parcel_188
0.0593329668114616,0.0574290450603521,0.0580541971183366,0.0531889161227723,Parcel_189
0.0205291115803357,0.0198438836526484,0.0205670976940741,0.0191490996942144,Parcel_190
0.0458623942060182,0.0440077145236503,0.0461217511335978,0.0433303659058629,Parcel_191
0.0354977122395929,0.0336148334897393,0.0370412748862778,0.034396382660929,Parcel_192
0.0409889345340467,0.0396529410527892,0.0432382025623642,0.0394247122242439,Parcel_193
0.0503468127988697,0.0503183068887481,0.0543027733086009,0.0503706368338927,Parcel_194
0.0531351368875036,0.052581697369484,0.0569876075415268,0.0535785496071904,Parcel_195
0.0414981415689677,0.0404558819154749,0.0485382611089583,0.0442093259081173,Parcel_196
0.0487342252933545,0.048757327233103,0.0486527879188324,0.048616563466447,Parcel_197
0.0487410500658317,0.0483344188848907,0.0500863322380379,0.0486302900878654,Parcel_198
0.0440000162947319,0.0435338898504752,0.0426899289792684,0.0424136875510798,Parcel_199
0.0518212497014605,0.051417463129238,0.0528514889383324,0.052257512579717,Parcel_200
0.0432738551262641,0.0420426397722599,0.0417760415607242,0.0412193975008795,Parcel_201
0.0476227458865362,0.0465497573006746,0.0503856455815803,0.0487966016327068,Parcel_202
0.0330786571621585,0.0314746819520653,0.0340182195493556,0.0320014087948273,Parcel_203
0.0355467632761308,0.0340751172949116,0.0360897343059169,0.0335240119423937,Parcel_204
0.0484358503781125,0.0457018655905672,0.052664184090804,0.0500027775978627,Parcel_205
0.0587927269370752,0.0580646661434762,0.0601103341679922,0.0600401361025397,Parcel_206
0.0472979675272862,0.0442895825925798,0.0507283486704164,0.0479753075875658,Parcel_207
0.0492575310745886,0.0455050218297467,0.0512581061865161,0.0477983393692266,Parcel_208
0.048529985848256,0.0481425300469395,0.0482427061477987,0.0483560794170436,Parcel_209
