component_01,component_02,component_03,component_04,subjectID
-15.6183363360835,13.402142344929,-11.2523410359184,12.3910754821013,row_050
-42.1071085996108,35.5289399515462,-44.0096821182893,44.1347729919169,row_051
3.46228201847845,-6.77268265829347,0.864315698220419,-3.26074632195396,row_052
-5.84786252123099,-1.9900532807952,-11.8738944200511,6.61928871365843,row_053
-10.5796153894268,3.25291905661384,-17.1163476924471,13.3275147441217,row_054
-7.22286109686618,3.29641256154984,-4.28933992348863,7.58836002112476,row_055
8.65208789207258,6.20847720566803,33.7205925422257,-10.6256876640318,row_056
3.27373519740717,-11.60167005206,-40.2495543546164,19.6241747296129,row_057
23.1101089558015,-23.5232246795607,8.78532906556194,-12.2126463781646,row_058
-11.7045693116791,3.05194713152069,-27.777853490719,18.8033715746695,row_059
-20.5262893938451,20.5050639892744,-17.2005853476418,22.6953516375377,row_060
-51.2710530602364,40.1502029418293,-35.7665067642499,24.5701840345227,row_061
-13.9866354841298,8.24331467092806,-19.9734889671133,11.8208580073384,row_062
-15.2073827674035,10.1560721980882,-23.7219891556213,25.4317633015868,row_063
1.39995192947096,-3.10740386619385,2.60943697197298,-1.80091375759476,row_064
-17.0360010416335,18.6034443876443,-0.639683630783687,6.16747305662672,row_065
-32.4539212785713,28.074135560987,-14.7619924877863,20.1830857082698,row_066
32.3160558655081,-34.3452968572911,10.2749010241699,-17.5083928718018,row_067
-8.5632059270647,1.67083196343966,-19.3176915877692,4.62735645742524,row_068
-8.44525391802202,2.28241960083148,7.77338658114824,-13.3316413566295,row_069
-23.7233868518353,18.4488278911049,-24.7717847962052,25.1151450234362,row_070
-44.238445657877,39.645616059505,-20.6906075911013,24.4946842335156,row_071
-31.2594474976196,31.0570699751437,-12.2566395978816,15.7253656808236,row_072
2.59511367385084,-2.65013222938989,-2.66246880196638,3.31024377364527,row_073
7.61243618905867,-7.25990274938198,6.13479392121546,-5.5977362759474,row_074
-11.8251695249992,14.1793643144296,-2.90023544064199,7.02492356562053,row_075
-51.3450977344719,37.8564138115456,-40.2844941429613,38.3093675716065,row_076
20.8165493678534,-24.7470723877829,-5.40213818208104,-6.86084732041777,row_077
5.96615267099254,-11.667714871439,-1.60630810142641,-5.38665389452709,row_078
-24.7228949976763,30.7963246111639,-17.3915877369447,20.8695769275586,row_079
-35.0976327191749,18.2363053238517,-44.5397402099772,30.6263258917497,row_080
-7.74036231626137,4.9431816620263,-13.4805449467784,18.046691691521,row_081
-31.3197547395426,27.8592768193143,-20.3496262845097,22.953827929548,row_082
-15.5445147437769,17.0081322992484,-17.543643715356,24.508925649851,row_083
4.68408665103161,-2.07895773120118,8.29650776757105,-9.8222720690774,row_084
24.1440310608499,-22.2668188557136,3.03771151008226,-2.4052021379631,row_085
-38.7602858660473,24.3362959765111,-26.074290474859,22.4255866487066,row_086
0.231963855705788,-0.920388635152014,2.59784285322584,-3.36241517855699,row_087
