component_01,component_02,component_03,component_04,component_05,component_06,roiName
0.0454103551713555,0.0481576769219667,0.0425722455291306,0.0458213505774021,0.0430384025703874,0.0423496717612595,Parcel_125
0.0875657119659548,0.0901334045386107,0.0834869949083071,0.0804689754568282,0.0900682500846427,0.0764970402047607,Parcel_126
0.0296112466440711,0.0297985867487144,0.0282490452623376,0.0325362958701706,0.0290202807519423,0.0327636348706506,Parcel_127
0.0614585331843887,0.0615122090375658,0.0581724677481212,0.0637323948883333,0.064345389112262,0.0646947413729645,Parcel_128
0.041485050881011,0.0412911268529835,0.0402132502490275,0.0479952214186619,0.0402676905688209,0.0497476902438227,Parcel_129
0.0532900324174228,0.0523890641892433,0.0518004865944728,0.0583236052541641,0.0554454159140513,0.0616113747903742,Parcel_130
0.0381345838676799,0.0381358316181051,0.0363247168546585,0.0379718357683933,0.0433014550398768,0.0421541851369543,Parcel_131
0.0462752496782033,0.0472370177339431,0.0454781983707806,0.0476396485848949,0.0510873944270983,0.0513636789760861,Parcel_132
0.0434045932153788,0.0454191070335025,0.04309989940307,0.0410617983019279,0.0441778433782949,0.0452433987826829,Parcel_133
0.0522159984657296,0.0542626473626404,0.0527362837118312,0.0450782742221544,0.0556928793039036,0.0508015862226119,Parcel_134
0.0527238469162572,0.053031090430602,0.054094811782779,0.0526007050464429,0.0526790424317887,0.055888343285189,Parcel_135
0.0372378946800601,0.0394591319147675,0.0356487755620988,0.0352737072164529,0.0380430833348294,0.0383071419223718,Parcel_136
0.0454362231229092,0.0468171447789522,0.0443366833212721,0.0476015256928498,0.0489259028454938,0.0507884789181501,Parcel_137
0.0654277582720486,0.0666098894989688,0.0646347449771654,0.0638229873222836,0.0747963775519803,0.0684346344222594,Parcel_138
0.0408935156731753,0.0420221984394705,0.0412257980615815,0.0399296599019913,0.0454718168787967,0.0466190228042034,Parcel_139
0.0485536888637491,0.0511778692864381,0.0503976118369182,0.0454340396146552,0.0562601336765695,0.051840643672177,Parcel_140
0.0490558004018902,0.0496051336895955,0.051096484225148,0.0477575286358354,0.0521712813453099,0.0542089441016659,Parcel_141
0.0499813189233786,0.051446322700004,0.0508020802704094,0.0456208512219106,0.0559248654089303,0.0525889272309897,Parcel_142
0.039788414954899,0.0393131250364097,0.0405315077378659,0.0391815998802671,0.0433168540545707,0.0441233692411797,Parcel_143
0.0493106926832384,0.0488836710941563,0.0500704215437009,0.0482223445998263,0.0545696171769578,0.0540484288325797,Parcel_144
0.0565083492449,0.0586309774115398,0.0544538449560528,0.0558515823205674,0.0519315972868855,0.0532467040646501,Parcel_145
0.0429761469211635,0.0449069166900306,0.0417257091420981,0.0401455532203071,0.0430726364666294,0.0404721179461125,Parcel_146
0.0417030144878356,0.0450621929890847,0.0392703406100122,0.0417317342409018,0.0397421546517537,0.0434106876677967,Parcel_147
0.0530925906961454,0.0557103923032055,0.0512730295178092,0.0529429482085948,0.0508918168249908,0.0510091756640792,Parcel_148
0.03893151339408,0.0423230994562524,0.0373364251698956,0.0393873562707118,0.039124231819092,0.043444810151113,Parcel_149
0.0662996810139183,0.0697155258131193,0.0637377695958444,0.0666370700844346,0.0669224804187042,0.0648961968000693,Parcel_150
0.0349065103966374,0.0363326537697944,0.0349723818798519,0.0330287852084173,0.0392241710506284,0.0393179872967803,Parcel_151
0.0437210771612275,0.0462079096876486,0.0447494907826139,0.0405600256996373,0.0508917959756048,0.0483365300222933,Parcel_152
0.0306653323826612,0.031720794266247,0.0308711284846672,0.0278769044333344,0.0353686942582093,0.032229572841779,Parcel_153
0.0455769933306967,0.047094999979768,0.0462174792751519,0.0411669230977302,0.0524414484362682,0.0448348245276651,Parcel_154
0.0474366790259339,0.0488272813872388,0.0444920737056488,0.0501974168654785,0.0426379050234486,0.0485247137140066,Parcel_155
0.061052291787533,0.0626079451821727,0.0590976355818875,0.0624286172203016,0.0563461395369766,0.0595725919634493,Parcel_156
0.0692331002689513,0.070559371301997,0.065531683803498,0.0698256053883115,0.0621005147666909,0.0652298047278991,Parcel_157
0.0536839499289389,0.0556903073759691,0.0506236761372491,0.0555422689733271,0.0486709833321295,0.0529285990195034,Parcel_158
0.0641358208788701,0.0660402003846764,0.0589207597363803,0.0688393040922153,0.0572755312955634,0.0635213671132741,Parcel_159
0.0595341531377883,0.0604880111700578,0.0548525822183076,0.0596718713350752,0.0542310639663222,0.0576318668631508,Parcel_160
0.0575611522144658,0.0608751559631358,0.0541353667273092,0.0564098598110708,0.0550088866207507,0.0568137004673377,Parcel_161
0.0631110740127215,0.0648824324890065,0.0609653483453675,0.063314927182624,0.0593595332874045,0.0622686554431048,Parcel_162
0.0495001993199474,0.0515923947954411,0.046471862338262,0.049282558796618,0.0492480486722123,0.0505765170123418,Parcel_163
0.048632096678732,0.0500344985260345,0.0471183147896799,0.0492130900253163,0.0493578136785631,0.0505712630328333,Parcel_164
0.0635090001927815,0.0655208561344165,0.0610564169810202,0.0607070181952502,0.0615511413325301,0.0602778623480321,Parcel_165
0.0645693588869215,0.0656259207520608,0.0633308666271292,0.0594958104373154,0.064326597751212,0.05790230278465,Parcel_166
0.058338511458684,0.0580646179757846,0.058119969449011,0.0573397834721009,0.0570498001607144,0.0580758855013967,Parcel_167
0.0627357359697767,0.0624221719014259,0.0629089601992879,0.0588336782055664,0.0632492163987304,0.0577885553036708,Parcel_168
