component_01,component_02,component_03,roiName
0.0402209781605882,0.0381356680068924,0.0458989415065582,Parcel_059
0.0563792540421431,0.0555072069145105,0.0645068431930868,Parcel_060
0.0641272736666659,0.0642203006179577,0.0664201898783337,Parcel_061
0.0608146380028632,0.0613336709661245,0.062158819589784,Parcel_062
0.0568907797909944,0.0561748877479559,0.0503088975490764,Parcel_063
0.0625769148663572,0.0677654416193049,0.0671851182596952,Parcel_064
0.040679228273859,0.0424931701611575,0.0463861902594555,Parcel_065
0.0486115698974304,0.0519613702382301,0.0622325117717547,Parcel_066
0.0524606857476592,0.0545340865945601,0.0554439680983522,Parcel_067
0.0518280611191204,0.0566378702261051,0.0598968959381997,Parcel_068
0.0518337605856715,0.0539908175946225,0.0665512193404227,Parcel_069
0.0511884333414633,0.0525299052645718,0.0574027420483099,Parcel_070
0.0290548513715824,0.0293653781780474,0.0243442794802475,Parcel_071
0.0354115057296533,0.0360434324712735,0.0363949077312226,Parcel_072
0.0203847988372868,0.0192855734430867,0.021407620652853,Parcel_073
0.0430283039165003,0.0423715631548841,0.040176577190543,Parcel_074
0.0543153211582073,0.0544825889122586,0.0547629106751244,Parcel_075
0.0530687652136302,0.0523745527630704,0.0462388893573145,Parcel_076
0.0230361240216925,0.0259979676720803,0.0284164294599297,Parcel_077
0.02436373410947,0.0275122840299407,0.0221171827310974,Parcel_078
0.0294418225468501,0.028916636421598,0.0278350050701054,Parcel_079
0.0505916114507917,0.0502510572622366,0.0370682562851211,Parcel_080
0.046073686406789,0.0456259588796361,0.0389244627831363,Parcel_081
0.0451286479346011,0.0434847709723149,0.0382334112247875,Parcel_082
0.0302653595235974,0.0332830446084004,0.0328756713291875,Parcel_083
0.0227247508961893,0.0253125580843778,0.0223801639142719,Parcel_084
0.0416994969579768,0.0380158227437917,0.0380192396674553,Parcel_085
0.0714627827766644,0.0695224084333241,0.0579811571474552,Parcel_086
0.0527556728101472,0.0505653418656721,0.0426542616770119,Parcel_087
0.0434754248645775,0.0408056514399659,0.0359179828698917,Parcel_088
0.0467073749414936,0.0488996452997555,0.0463178471969673,Parcel_089
0.0551849314415461,0.0602638751426056,0.048165341971034,Parcel_090
0.0618578081040039,0.0647118660361483,0.0508466656169618,Parcel_091
0.0592119343749415,0.0592050911787118,0.0460309513090413,Parcel_092
0.0451278671646995,0.0458994783500515,0.0423211864645209,Parcel_093
0.0337431622735617,0.036661092415561,0.0328091856831927,Parcel_094
0.0479326679998076,0.0486673301951734,0.0511109681072479,Parcel_095
0.02752070935214,0.0286939782037754,0.0232966827616924,Parcel_096
0.0415040479914253,0.0441291690586052,0.0413778905491773,Parcel_097
0.0318940472040575,0.0357688499741013,0.0301518755724232,Parcel_098
0.04637001026769,0.0472599067939701,0.0423955882488969,Parcel_099
0.037927220575895,0.0390213166731845,0.0387334703225229,Parcel_100
0.0283029775618435,0.0300766280729552,0.0278731218265987,Parcel_101
0.0348733119248201,0.0356544772532532,0.0294064814964206,Parcel_102
0.0373325061312922,0.0375997150222715,0.0378234970567342,Parcel_103
0.026232910122524,0.0262554622722042,0.0239871694355587,Parcel_104
0.0471947027815316,0.0480635988469471,0.0525435529853189,Parcel_105
0.0334739349959004,0.0325891423254317,0.0310163924901238,Parcel_106
0.0397968738749783,0.0402949205426844,0.0343143015152094,Parcel_107
0.038683021773996,0.0394039028760208,0.03093128372802,Parcel_108
0.0330602416470721,0.0331255439310066,0.031850850499401,Parcel_109
0.0326172159994988,0.0322264970636699,0.0292081065710752,Parcel_110
0.0291245070464794,0.0294644820556726,0.0258377590048462,Parcel_111
0.0518337364039912,0.0490825116564813,0.0430806147390662,Parcel_112
0.0529400547908792,0.0539956028981305,0.0500796221556859,Parcel_113
0.0725087940788883,0.0768699374694076,0.062525784844261,Parcel_114
0.0317603222000685,0.0333160526784849,0.0412132890461899,Parcel_115
0.0805234377966023,0.08201731495304,0.0851297573720781,Parcel_116
0.0839912511574456,0.0811174142895569,0.0822874059815932,Parcel_117
0.0959841689781659,0.0987619581918677,0.0917446214795013,Parcel_118
0.0494371525364781,0.0460201269403717,0.0387557841237449,Parcel_119
0.0759175072923564,0.0741171062279488,0.0621876288855083,Parcel_120
0.0314193701613699,0.0330755484036086,0.0420819733827256,Parcel_121
0.0457977998159977,0.0497160031119959,0.0415578328704115,Parcel_122
0.0530092802946399,0.0496541682372323,0.0504301678576509,Parcel_123
0.0791595797470435,0.0746598406055001,0.090178333398826,Parcel_124
0.0517808561286406,0.043105747119013,0.0414969267225321,Parcel_125
0.0946306546611665,0.0835786351860193,0.0819106917900167,Parcel_126
0.0305218624341809,0.0302770764668385,0.0333358545384487,Parcel_127
0.0606045798187123,0.0625659505901845,0.0633569067819036,Parcel_128
0.0418862694047528,0.04549536230171,0.0427110689875249,Parcel_129
0.0506283027841474,0.0568918474581763,0.0500238320081083,Parcel_130
0.0399045630894651,0.0434326393094829,0.0346300955362523,Parcel_131
0.0462636787378206,0.0480337152380664,0.0500127357398973,Parcel_132
0.0502212491286952,0.046978046564257,0.0429559136985886,Parcel_133
0.0600449606895874,0.0564320519030495,0.0489548146445594,Parcel_134
0.0540249270283291,0.053100533527363,0.0574371082396532,Parcel_135
0.0429554614632219,0.0398611161833578,0.0350398761224223,Parcel_136
0.0466680868946137,0.0459202815919464,0.0500068097913303,Parcel_137
0.0654621414414089,0.0660468108197883,0.0741919606531885,Parcel_138
0.0442893610882431,0.0436987683208972,0.0448419608674704,Parcel_139
0.0554614229328372,0.0548608550599652,0.0536104613213133,Parcel_140
0.0504486608127445,0.0515925206392005,0.0575432294293757,Parcel_141
0.0528062684551813,0.0521355090280533,0.0610959835406317,Parcel_142
0.039601356157254,0.0417226711597651,0.0435353275057068,Parcel_143
0.0486072768475459,0.0528530768488287,0.0562271548614372,Parcel_144
0.061945844659062,0.0552865165550157,0.0503806063813272,Parcel_145
0.0505010717831477,0.0466541549610721,0.0304237447917696,Parcel_146
0.0496128790368816,0.0442513553856872,0.037225174456458,Parcel_147
0.0587996726902232,0.051337639660955,0.0518971579040102,Parcel_148
0.0473958793721185,0.0437188327793934,0.0393638926251651,Parcel_149
0.0722482520019222,0.0655957698879315,0.0600018197089605,Parcel_150
0.0401952264642665,0.040585694397918,0.0321633881685013,Parcel_151
0.0495005875115081,0.048776726164873,0.0499139343676144,Parcel_152
0.0354522903690044,0.0348149717589081,0.027404093825344,Parcel_153
0.0508251930512219,0.0485662434784214,0.0495310582629298,Parcel_154
0.0480181615033557,0.046011877244383,0.041213309532622,Parcel_155
0.0643799744758252,0.060036925906585,0.0531705475385325,Parcel_156
0.0720992079277037,0.0664996609910434,0.0546533617854686,Parcel_157
0.0577107872118994,0.0536269572056995,0.0460372380032117,Parcel_158
0.0640123000699101,0.0621586923205331,0.0523488780613606,Parcel_159
0.0647459527310081,0.0617123189268372,0.0432700908917979,Parcel_160
0.0693285769968096,0.0618321986714129,0.0439007116029146,Parcel_161
0.0701198199186885,0.0659169970744349,0.0547731019956828,Parcel_162
0.0566206557606956,0.0526355871565754,0.0382152966664894,Parcel_163
0.0515410601773014,0.050586237909576,0.045928506114854,Parcel_164
0.0687664539239785,0.0625963459758069,0.0557164624867469,Parcel_165
0.0713436307804626,0.0660988115875731,0.0539197925931214,Parcel_166
0.0585858000882552,0.0584313235683098,0.0539322180458868,Parcel_167
0.0648556590232983,0.0626070478437306,0.0579675035376067,Parcel_168
0.0585462241408028,0.0549719498696517,0.0529782127488996,Parcel_169
0.0626016376338925,0.0598437849381589,0.0569220106885257,Parcel_170
0.0553674483009565,0.0548715150079647,0.0483686815708738,Parcel_171
0.057149878797036,0.0553004361083638,0.0491315453986887,Parcel_172
0.0586095398666042,0.0601326073429191,0.0584285540262176,Parcel_173
0.0500442371559456,0.0502153737133325,0.0564060637249531,Parcel_174
0.0183106346379328,0.0190000794920558,0.0174778261982783,Parcel_175
0.0318091600863065,0.035546177835087,0.0348068579478339,Parcel_176
0.0317642523093817,0.0315007145082012,0.0355794337190043,Parcel_177
0.0513509403218086,0.0494056679971595,0.0457719818245088,Parcel_178
0.0185198760855957,0.0189393864285652,0.0164120272475891,Parcel_179
0.0196426042503168,0.0204879666217883,0.0215631319223369,Parcel_180
0.0329676477803391,0.0353214795218367,0.0228685604585805,Parcel_181
0.032796957202129,0.0320137136741621,0.0221196320293185,Parcel_182
0.0252006783961217,0.0263006405419183,0.0232234894761359,Parcel_183
0.018242644704354,0.0154044596976597,0.0139544983822863,Parcel_184
0.00878744796093555,0.00843715324467594,0.0104325114051168,Parcel_185
0.00500281420328845,0.00523031447234135,0.00432680593768806,Parcel_186
