component_01,component_02,component_03,component_04,component_05,component_06,subjectID
-54.6253407350118,-40.557633278607,-21.14434031462,-8.23529718214162,32.6243521374306,15.1077135299781,row_150
-1.01201255196102,10.6452909298625,-12.5747649946237,-7.25122534643253,-8.97515827253178,1.43839376696551,row_151
-27.3162175839038,-14.9772295625218,-12.4223745613502,-12.4762553425085,0.206666339792621,8.49639244842318,row_152
-10.2629852960617,1.65508945587784,-8.41353065439224,-2.11801403634443,5.75375964886331,2.82185203903475,row_153
15.3534968860461,11.3480962841007,6.24722595365734,4.1507299393392,-9.66266841339353,-2.48753179286763,row_154
-43.187006980423,-29.9376429215384,-24.9249283817584,-17.0730796917811,18.5970974765762,20.4558227909593,row_155
20.2566787906846,10.3432369971717,13.866383706313,1.45024228408608,-9.15477330981603,-6.17242452393595,row_156
-5.90510474880966,3.80363031789008,-6.80727938159233,-5.70839017699106,-1.05229990593022,1.82215358153511,row_157
-0.745795280754478,10.3724962375824,-14.4236131296812,-3.48596252219433,-7.13749235827407,2.6074053507868,row_158
-26.0696942429272,-12.4570259101728,-13.3076851877444,-10.7396992628125,7.88654383607784,7.93718164791156,row_159
-52.1506421229706,-39.900823556307,-14.2011447276876,-22.8354432304057,19.3867964492421,14.761039523735,row_160
3.30640966989466,6.28574847906039,-0.413065218763239,3.39386469777802,-1.4319254511057,-3.22338838474583,row_161
-46.8808066807791,-39.4502950465004,-14.4676817625745,-19.8917029912813,15.1723100693036,16.9494237579498,row_162
40.3938555303024,36.9214828325817,13.3681816159339,23.5037224423047,-11.0793461659588,-11.4248429771554,row_163
-25.5601920716692,-21.5183317094781,-8.82706716394349,-3.55101331518088,13.7697813217557,8.10559944980095,row_164
-20.4769099497696,-8.02535205126646,-10.5029636325874,-6.10605207906947,5.19588787365001,5.14031904189557,row_165
-25.9333939945162,-22.5283122943611,-4.97696859528226,-11.6963840642951,9.24921375480123,8.11018245953809,row_166
-33.6530814439154,-10.008797746889,-26.0357154399189,-14.0355356274835,7.98135998130425,13.0046476260645,row_167
-47.5996425160701,-30.5902671895066,-21.9150820294843,-21.4571715436479,10.1849837203106,14.3120275244245,row_168
-26.0720862922176,-43.2132251498979,10.9835942271213,-17.6527014296603,8.62894626695097,13.3453415921856,row_169
-38.7202771852332,-46.0533400222092,-4.85733331003499,-13.8033074553291,21.4351903163383,15.0747270446989,row_170
6.33622621850698,1.44255605400035,8.31520937045562,-6.96730419782322,-10.0651861227952,-4.05119724048562,row_172
-66.8786781760766,-40.0662362936776,-33.6603808686548,-28.5352482679961,19.6624475487648,25.6679131876286,row_173
7.87167791676138,-12.2442139045461,16.6704141040344,4.45103045865648,2.19297591186176,2.00494123851144,row_174
-60.6780086404391,-52.987495184095,-18.8781729354422,-27.5078454446661,22.3366428081213,27.7496048112311,row_175
-19.7416347637435,-4.06501256693497,-18.4630129550535,-6.24976247874321,5.04637525717597,5.40154067054511,row_176
-25.4095932975969,-18.258319311501,-9.10077691000061,-7.87395475436291,8.64516897105667,5.50259785887074,row_177
19.6879471802606,5.45375693209392,18.4730725076337,7.46798623357181,-3.10912902716062,-9.09828193886877,row_178
8.30949195253365,9.1096737801258,-1.80521383665805,1.96857667432845,-6.27051532621299,1.73933700190055,row_179
13.6302406838139,18.7943870709119,-7.26434341260033,12.3914997019308,-4.28776171493192,-4.21362781957296,row_180
4.409837853244,1.76886232216316,-1.0111356759104,2.28091378864556,-2.3774180955645,0.135537650809734,row_181
-19.1125507904917,-9.86095413099749,-6.86232574822194,-7.44547428885907,6.33190520622486,3.94079024287037,row_182
-21.932876768568,-16.5699187159108,-15.7883261437788,-10.3171380659763,7.10419556659953,12.3156427771101,row_183
11.1391765426907,7.22711995253092,8.68325385433088,9.50929854915026,-1.67219325598794,-8.03157611746629,row_184
-7.79173328674204,0.62637182599152,-10.6672071879098,7.69443493983205,10.1049173326619,2.20630854201033,row_185
24.9479670051251,21.1916559338469,7.6027897846038,12.242777570625,-10.5418534522016,-5.88092401777646,row_186
-31.7140805944686,-5.97327673255141,-24.1040550291301,-2.95329639281859,12.4296530203709,11.9465935268677,row_187
13.8826554262687,9.10179713951685,5.93383194881153,2.1065357932763,-8.21850313275872,-6.66237367031913,row_188
-40.1153156677708,-20.5590626858842,-25.0437935945957,-24.000727642613,10.1578862939604,11.6523677455005,row_189
-5.85856820571389,-11.6978293376698,2.62626151277315,-4.61246913096801,0.769355343866052,5.90262754293564,row_190
-1.51186936317297,-16.2565788616555,1.16391507836908,-2.03483845330982,3.45438907678044,6.58297488857749,row_191
-20.0717077852745,-19.2436216681766,-3.54289148728724,-5.67227337517863,8.21209329293121,6.64586590431947,row_192
-23.1433868581798,-19.62150110447,-11.0349214275685,-17.4401487636385,-5.52395143768427,6.30083344238278,row_193
28.894201368773,8.37668588601875,22.0342805571193,6.98465977826893,-12.1699596846414,-6.01074357168312,row_194
-61.2700112214648,-62.2244559229056,-3.58021310356633,-28.0190146065487,21.7426697436754,21.2386747245318,row_195
-35.3962998690191,-30.6562099625292,-7.08102025098247,-12.4868607339707,12.3729092982599,11.0867995351275,row_196
-45.1029262434399,-41.0339930096307,-9.11371725068278,-21.8138481073379,14.0046603167803,17.302730547799,row_197
1.17549778087786,-12.9806597807777,10.8275354893431,-12.7554590846139,-8.94322117438041,7.49856072556957,row_198
-38.9251965943284,-35.1290472311599,-10.8666430880325,-14.1140866507488,16.7818333684095,16.8053294052797,row_199
